symbol,open,high,low,close,volume,trade_count,vwap,volatility,weights
OSW,20.91,21.85,20.89,21.64,930213.0,12603.0,21.523969,0.10956033858678316,0.009323385980921086
RCL,246.75,269.96,246.0,265.25,8091016.0,123896.0,261.889906,0.1765479454458884,0.005785812586292947
RDDT,184.0,196.83,181.81,194.75,5422760.0,85029.0,191.602279,0.2177818536850913,0.00469035095238933
RDW,24.15,24.6,20.76,22.0,1772016.0,19761.0,22.122967,0.6237688916280892,0.0016375829871522615
RL,248.5,257.9,248.5,257.45,613677.0,21419.0,255.857059,0.11096944781191988,0.009204996014544999
RTX,131.175,132.43,126.13,128.35,8451632.0,111765.0,129.067783,0.07999214922690406,0.012769669707804597
SAH,72.51,73.445,72.1,73.1,134506.0,4503.0,73.014339,0.10236894617430364,0.009978351472972267
SKX,75.34,76.9,75.15,76.78,1643700.0,27177.0,76.487683,0.10260272824520199,0.009955615628503025
SKYH,11.2,11.56,11.09,11.34,67555.0,1413.0,11.333029,0.13003716146169536,0.007855241635260347
SN,111.85,113.2499,111.0,111.97,831746.0,14699.0,111.854464,0.1136860721245777,0.008985034892626484
SPOT,518.0,536.995,510.7189,530.8,2255945.0,54606.0,526.418293,0.12568417633802925,0.00812730253407331
SYK,400.61,406.19,394.59,395.15,1993677.0,44942.0,397.537321,0.09197141674518307,0.011106421549154625
TKO,155.0,159.53,154.14,158.44,1174493.0,23130.0,157.898404,0.10647444021329285,0.00959360126992671
V,334.67,337.83,332.89,334.48,5999625.0,102750.0,335.637159,0.05848253659890744,0.017466296509171333
VERX,58.5,60.0,58.0,58.95,833906.0,18015.0,59.105012,0.09839154150554494,0.010381718887770609
WAY,38.67,40.72,38.17,40.71,1562534.0,16365.0,39.937724,0.1213881013704783,0.008414937817730832
WH,104.74,106.28,104.44,105.29,1250573.0,15200.0,105.289734,0.05701112653132644,0.01791708718970328
WMT,97.23,97.84,96.7251,97.29,14642198.0,150172.0,97.350299,0.07717878266581961,0.013235157248695043
WSM,213.22,215.0,211.2,214.7,990290.0,22106.0,213.645179,0.11614326177705128,0.008794942635637381
